Label_Name,Property_Address,City_State_Zip,Route_Rank,Campaign_Tag,Permit_Momentum
,40 SUPREME CT,"WALNUT CREEK, CA 94596",1.0,Rossmoor_PreListing_Equity_Advisory,10 Permits (Building Revision to Issued Permit)
,1948 3RD AVE,"WALNUT CREEK, CA 94596",2.0,Rossmoor_PreListing_Equity_Advisory,"9 Permits (Building New Construction, Additions, Alterations or Sign)"
,1435 CREEKSIDE DR,"WALNUT CREEK, CA 94596",3.0,Rossmoor_PreListing_Equity_Advisory,"9 Permits (Building New Construction, Additions, Alterations or Sign)"
,1470 CREEKSIDE DR,"WALNUT CREEK, CA 94596",4.0,Rossmoor_PreListing_Equity_Advisory,"10 Permits (Building New Construction, Additions, Alterations or Sign)"
,120 SUMMIT RD,"WALNUT CREEK, CA 94596",5.0,Rossmoor_PreListing_Equity_Advisory,"9 Permits (Building New Construction, Additions, Alterations or Sign)"
,1535 BONANZA ST,"WALNUT CREEK, CA 94596",6.0,Rossmoor_PreListing_Equity_Advisory,10 Permits (Building Revision to Issued Permit)
,1147 ALPINE RD,"WALNUT CREEK, CA 94596",7.0,Rossmoor_PreListing_Equity_Advisory,"9 Permits (Building New Construction, Additions, Alterations or Sign)"
