address,permit_no,permit_date,description,lead_status
"1868 DANIELLE CT, WALCR CA 94598",M260297-E,02/24/2026,"ONLINE - Adding ESS system to new solar system on ADU; plans submitte on 2/24/26, record # S26026-E.",New
"2614 GRANDE CAMINO, WALCR CA 94598",B260227,02/19/2026,"(N) DETACHED ADU",New
"1959 CARRIAGE DR, A, WALCR CA 94598",B250178,02/19/2025,"CONVERT DETACHED GARAGE INTO AN ADU",New
"113 ROCK OAK CT, WALCR CA 94598",B260211,02/17/2026,"Convert Existing 2 car garage of 495 SF into a JADU.",New
"41 SANDY LN, A, WALCR 94597",B250153,02/11/2025,"(N) DETACHED HUD / HCD Approved Manufacturer ADU 592 sf - REVISION UNDER R25251",New
"432 GRAND OAK CT, WALCR CA 94598",S26019-E,02/09/2026,"ONLINE - Install 15 solar panels on a new 1000 sq ft detached ADU",New
"1770 ALMOND AV, B, WALCR CA",B260161,02/06/2026,"CONVERSION OF UPPER LEVEL PORTION OF HOUSE TO 424 SF JUNIOR ADU; REMODEL LIMITED TO ADDITION OF KITCHEN AND LAUNDRY HOOKUP & EXHAUST FAN. NO PROPOSED EXTERIOR WORK.",New
"125 ROCK OAK CT, WALCR CA 94598",R26046,02/03/2026,"The electrical line from the ADU to the house was added in the drawing. The breaker box was positioned correctly in the drawing. In the kitchenette, the stove top was swapped out for a self venting microwave/convection oven. Finally, 2 concrete pads that were to the right side and in the back of the ADU were added. - REVISION TO B220430",New
"2488 ENCINAL DR, WALCR CA 94597",B260134,02/01/2026,"Build a new 748 sf 2 bed 1 bath detached ADU with full kitchen. ADU will be on a slab foundation with truss roof framing. Tie into existing electrical drop with new meter for the ADU, upgrade the main electrical panel to 300 amps. Tie into the existing water service under the same meter. Tie into existing private sewer lateral. Provide new photovoltaic system.",New
"1764 3RD AVE, WALCR CA 94597",B250101,01/28/2025,"Garage to ADU conversion, removing garage door, adding door and windows instead.",New
"2473 ENCINAL DR, WALCR CA 94597",M260118-E,01/27/2026,"MSP upgrade for ADU B241531 100 amp to 200 amp",New
"190 RUDGEAR DR, WALCR CA 94596",B260112,01/26/2026,"Revision to Permit B250206 to alter windows and one door; original scope, detached ADU",New
"151 SHADY LN, WALCR CA 94597",M260098,01/24/2026,"Add branch circuit to existing panel to serve ADU (B250022) attached to existing house",New
"187 LANCASTER RD, WALCR CA 94595",B250161,01/23/2025,"1st Story and 2nd Story Addition and Full remodeling of Existing house. Including conversion of detached garage to ADU.",New
"2231 BUENA VISTA AV AVE, WALCR CA 94597",M260075,01/20/2026,"Upgrading electrical panel from 100 to 400amp THERE WILL BE 1 PANEL WITH 3 METERS FOR 3 BUILDINGS- THE MAIN HOUSE & TWO ADU BUILDINGS.",New
"1705 PTARMIGAN DR, 1B, WALCR CA 94595",M260055,01/15/2026,"Demo master bath tub/shower pan and walls.  Waterproof shower pan system.  Install new floor and wall tile, new shower valve, ADU bars, new exhaust fan, and drywall texture and paint.",New
"3204 CUMBRIAN CT, WALCR CA 94598",M250003,01/02/2025,"Relocated electrical panel for 200 amp service and to incorporate 2 meters (primary residence & ADU)",New
