address,permit_no,permit_date,description,lead_status
"1859 DANIELLE CT, A, WALCR CA 94598",B251178,09/21/2025,"LEGALIZE GARAGE CONVERSION TO ATTACHED ADU (DONE BY PREVIOUS OWNER). BATHROOM IN CONVERTED GARAGE PREVIOUSLY PERMITTED (B051309).",New
"185 LORIE CT, WALCR CA 94597",B251168,09/18/2025,"TO LEGALIZE CONVERSION OF GARAGE TO ADU",New
"113 ROCK OAK CT, A, WALCR CA 94598",B241286,09/17/2024,"NEW DETACHED ADU",New
"120 SUMMIT RD, WALCR CA 94598",B241279,09/16/2024,"Building a 578 ADU with deck",New
"51 CASTLE HILL CT, WALCR CA 94595",B251129,09/12/2025,"New HUD/HCD approved manufactured ADU. New utility connections as required, and field built entry landings and steps.",New
"2273 WALNUT BLVD, WALCR CA 94597",B241268,09/12/2024,"ADDITION TO (E) ADU",New
"189 LOS ALTOS AV AVE, WALCR CA 94598",R25305,09/10/2025,"REVISION TO S25163-E: Single-Line Diagram. The original design included 4 PV circuits. Please update this to 3 PV circuits as shown in the attached revised single-line diagram. ADU Module Layout. The ADU roof has sufficient space to accommodate 6 modules instead of 5. Please update the module layout accordingly, as reflected in the attached revised plan.",New
"319 LOS FELICAS AVE, A, WALCR CA 94598",B251099,09/08/2025,"CONVERTING (E) POOL HOUSE TO DETACHED ADU Adding a kitchen, bath, mini-split and window to an existing permitted dwelling on my property (under permit #: 2337-A).",New
"2156 STEWART AV AVE, WALCR CA 94596",M251873-E,09/05/2025,"Upgrade panel and install feeder to ADU",New
"1881 SHUEY AV AVE, WALCR CA 94596",B241213,09/03/2024,"(N) Detached 748 SQF ADU DUPLEX (2 UNITS MIRROR IMAGE)",New
"2129 STEWART AV AVE, WALCR CA 94596",B251034,08/20/2025,"Fire damage repair interior rafters and sheathing and conversion of existing living area (2nd floor) into ADU 900 sq.ft & New replacement to existing wood staircase and landing to the ADU unit from the back 100 sq.ft.",New
"2348 WALNUT BL BLVD, WALCR CA 94597",B251022,08/19/2025,"Partial demolition of ADU & partial of garage in order to prepare for the addition of the ADU and the garage. The ADU and Garage addition permit is under review under the permit # B250867",New
"519 BANYAN CIR, WALCR CA 94598",B241152,08/19/2024,"Construction of HCD approved and inspected Factory Built Housing ADU. ADU to be fully completed in Factory and installed on Concrete t-footing foundation, connected to site utilities. 540 sq. ft. detached ADU",New
"2560 CEDRO LN, WALCR CA 94598",B251019,08/18/2025,"Conversion of existing garage to detached Accessory Dwelling Unit (ADU)",New
"2612 SAN CARLOS DR, WALCR CA 94598",B250992,08/12/2025,"(N) DETACHED ADU",New
"41 SANDY LN, WALCR CA 94597",R25251,08/06/2025,"REVISION TO B250153 - Relocate the ADU to the rear left corner, and fire dept required to install automatic fire sprinklers for the new ADU only",New
"2032 ESSENAY AV AVE, WALCR CA 94597",R25252,08/06/2025,"Addition of stairs and deck to align with the ADU threshold - REVISION TO B240940",New
"1864 SHUEY AV AVE, WALCR CA 94596",B250966,08/05/2025,"Converting an existing detached garage into a ADU",New
"189 LOS ALTOS AV AVE, WALCR CA 94598",R25243,08/04/2025,"REVISION TO S25163-E - Relocate solar panels originally planned for pergola (as shown on Sheet PV-1) to roof of ADU.",New
"1861 SECOND AV AVE, WALCR CA 94597",B250957,08/03/2025,"CONVERSION OF (E) DETACHED GARAGE INTO AN ADU WITH AN AREA OF 689 SQUARE FEET.",New
"244 WOOTTEN DR, WALCR 94597",B250949,07/31/2025,"NEW SINGLE FAMILY HOME (3233.1 SF) & ATTACHED JADU (340.2 SF) DEMOLITION OF (E) SFR (1510 SF) - SEPARATE PERMIT (D25013)",New
"60 AMBERWOOD LN, WALCR CA 94598",M241472,07/30/2024,"Install Main Panel 320A 240V 2-METER 200A FOR THE ADU UNIT AND 125A FOR THE MAIN HOUSE",New
