id,address,city,building_permit_count_24m,major_project_type,priority_score
1470,1470 CREEKSIDE DR,WALNUT CREEK,10,"Building New Construction, Additions, Alterations or Sign",125
120,120 SUMMIT RD,WALNUT CREEK,9,"Building New Construction, Additions, Alterations or Sign",115
1948,1948 3RD AVE,WALNUT CREEK,9,"Building New Construction, Additions, Alterations or Sign",115
1147,1147 ALPINE RD,WALNUT CREEK,9,"Building New Construction, Additions, Alterations or Sign",115
1435,1435 CREEKSIDE DR,WALNUT CREEK,9,"Building New Construction, Additions, Alterations or Sign",115
40,40 SUPREME CT,WALNUT CREEK,10,Building Revision to Issued Permit,110
1535,1535 BONANZA ST,WALNUT CREEK,10,Building Revision to Issued Permit,110
