id,address,city,building_permit_count_24m,major_project_type,priority_score,local_ai_strategy
1470,1470 CREEKSIDE DR,WALNUT CREEK,10,"Building New Construction, Additions, Alterations or Sign",125,"Local LLM connection error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11e34de80>: Failed to establish a new connection: [Errno 61] Connection refused')). Make sure Ollama is running (ollama serve)."
120,120 SUMMIT RD,WALNUT CREEK,9,"Building New Construction, Additions, Alterations or Sign",115,"Local LLM connection error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11e367c50>: Failed to establish a new connection: [Errno 61] Connection refused')). Make sure Ollama is running (ollama serve)."
1948,1948 3RD AVE,WALNUT CREEK,9,"Building New Construction, Additions, Alterations or Sign",115,"Local LLM connection error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11e3e8550>: Failed to establish a new connection: [Errno 61] Connection refused')). Make sure Ollama is running (ollama serve)."
1147,1147 ALPINE RD,WALNUT CREEK,9,"Building New Construction, Additions, Alterations or Sign",115,"Local LLM connection error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11e3d5350>: Failed to establish a new connection: [Errno 61] Connection refused')). Make sure Ollama is running (ollama serve)."
1435,1435 CREEKSIDE DR,WALNUT CREEK,9,"Building New Construction, Additions, Alterations or Sign",115,"Local LLM connection error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11e3d5ba0>: Failed to establish a new connection: [Errno 61] Connection refused')). Make sure Ollama is running (ollama serve)."
40,40 SUPREME CT,WALNUT CREEK,10,Building Revision to Issued Permit,110,"Local LLM connection error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11e34b650>: Failed to establish a new connection: [Errno 61] Connection refused')). Make sure Ollama is running (ollama serve)."
1535,1535 BONANZA ST,WALNUT CREEK,10,Building Revision to Issued Permit,110,"Local LLM connection error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11e2ef9b0>: Failed to establish a new connection: [Errno 61] Connection refused')). Make sure Ollama is running (ollama serve)."
